drive,seed,mode,separation,within_corr,across_corr,internal_spread,broken,collective_mean_norm,max_update_speed
1.3,0,stress,0.05265976985550408,0.18689467902949736,0.13423490917399328,0.6144530763449315,3,1.1240151438116956e-15,3.0000000000007874
1.3,0,random_matched,0.03914932035624652,0.1660720426630703,0.12692272230682378,0.38842415751532217,3,2.962039982472228e-16,3.0000000000009845
1.3,1,stress,,0.13515122243150973,,4.538281954680654,0,8.492077296309768e-16,3.000000000000892
1.3,1,random_matched,,0.13515122243150973,,4.538281954680654,0,8.492077296309768e-16,3.000000000000892
1.3,2,stress,0.0436989273291154,0.1907148296233883,0.1470159022942729,1.0647333366651115,4,6.477787712165088e-16,3.0000000000009925
1.3,2,random_matched,0.05851657434652208,0.19189736275999125,0.13338078841346918,0.3939381450333237,4,2.078293647562552e-15,3.0000000000009535
1.3,3,stress,0.1218673756256145,0.25168881603901916,0.12982144041340465,0.3438634042652104,6,3.469446951953614e-16,3.000000000000994
1.3,3,random_matched,0.07263275913478567,0.2211456637361324,0.14851290460134672,0.23735957820163264,6,2.1306221213663725e-15,3.0000000000009877
1.3,4,stress,0.05867274654158469,0.18885238956062778,0.13017964301904308,0.27747320260531916,4,8.552341167394244e-16,3.000000000000995
1.3,4,random_matched,0.043450344169321864,0.17281596147840922,0.12936561730908736,0.5385055435605725,4,8.645538799963171e-16,3.000000000000982
1.3,5,stress,0.034606948718977876,0.16379380541004812,0.12918685669107025,0.9011619935123825,1,1.1190733875519505e-15,3.0000000000009472
1.3,5,random_matched,0.02625389416110041,0.15724205534696445,0.13098816118586404,2.131627178824731,1,4.517333031985021e-16,3.0000000000009472
1.3,6,stress,0.029901851883444686,0.16062252840052782,0.13072067651708313,0.28674938344216455,7,5.733213703042032e-16,3.0000000000009908
1.3,6,random_matched,0.08568937600047316,0.23679870162921526,0.1511093256287421,0.2205334043727827,7,5.852531852146289e-16,3.0000000000009983
1.3,7,stress,0.04516237438861831,0.16201095122430173,0.11684857683568342,0.45862644100728794,4,1.7393740110787858e-15,3.000000000000977
1.3,7,random_matched,0.0466318131813241,0.16133463184362928,0.11470281866230518,0.456772704338838,4,1.2914547347233453e-15,3.0000000000009663
1.3,8,stress,0.040470293774392596,0.16845572489556657,0.12798543112117397,0.33638595195612436,4,5.780746012175156e-16,3.0000000000009686
1.3,8,random_matched,0.07794755763738612,0.20333466120241636,0.12538710356503024,0.5028642933082869,4,1.1273608869934869e-15,3.0000000000009246
1.3,9,stress,0.06530134942152879,0.19695988942249054,0.13165854000096175,0.8687805464353938,2,1.2704725448309925e-15,3.0000000000009917
1.3,9,random_matched,0.04720295980297973,0.18493170244692086,0.13772874264394114,1.7672879105061663,2,1.1524373854964902e-15,3.000000000000968
1.3,10,stress,0.06100380161332203,0.1845394018722775,0.12353560025895546,0.47263959321390775,3,4.577566798522237e-16,3.0000000000009686
1.3,10,random_matched,0.04486919110805784,0.16094474304323922,0.11607555193518138,0.3742774000463949,3,7.525919195837022e-16,3.0000000000009615
1.3,11,stress,0.06845969451201916,0.19373590198425883,0.12527620747223966,0.12655355283214273,7,3.680565614737459e-15,3.0000000000009805
1.3,11,random_matched,0.07076176037763043,0.20610082502873883,0.1353390646511084,0.4515147742202026,7,1.0646674449704517e-15,3.000000000000995
1.3,12,stress,0.057539021231776025,0.17806662482879304,0.12052760359701702,0.3425204475180602,5,1.4723250824854732e-16,3.0000000000009877
1.3,12,random_matched,0.07752674413133306,0.19843925742358337,0.1209125132922503,0.5146270701656175,5,3.725237604554943e-16,3.000000000000918
1.3,13,stress,0.02616857793574237,0.15325205635105235,0.12708347841530998,0.688077991912254,2,2.0682935342535693e-16,3.0000000000008336
1.3,13,random_matched,-0.008570685197922617,0.13470096956349997,0.1432716547614226,0.3733209426291088,2,2.638098149474223e-16,3.0000000000009255
1.3,14,stress,0.04042558158917456,0.18965296905637702,0.14922738746720246,0.22729875491938745,6,7.468261590855957e-16,3.000000000000985
1.3,14,random_matched,0.10537597756483874,0.24823887972291442,0.14286290215807568,0.41079430992678506,6,1.052315028676989e-15,3.0000000000009646
1.3,15,stress,0.04882155735126756,0.20438926214995853,0.15556770479869098,0.5976279227794156,2,2.572282900470003e-16,3.0000000000009313
1.3,15,random_matched,0.021500238132917737,0.17863016267878937,0.15712992454587163,0.35473181988614194,2,1.0192172553284536e-15,3.0000000000009313
1.3,16,stress,0.07854575778482378,0.2145822847519598,0.13603652696713603,2.08398187989973,3,1.2188824373837152e-15,3.0000000000008114
1.3,16,random_matched,0.029915713703829422,0.17527197127804708,0.14535625757421766,0.3796249493109592,3,4.967576201685826e-16,3.000000000000763
1.3,17,stress,0.028150666321918733,0.14225987997263298,0.11410921365071425,0.559172379511869,1,4.1375569220787887e-16,3.000000000000811
