seed,kernel_branch_spread,adr_mean_error,advection_diffusion_mean_error,diffusion_reaction_mean_error,diffusion_only_mean_error
26090424,1.837807811498916e-05,2.2651356806013707e-05,0.04861942684453041,0.00564361437866643,0.04894603762088559
26090425,1.837807811499213e-05,2.265135680600904e-05,0.04861942684453041,0.005643614378666444,0.048946037620885535
26090426,1.8378078114991698e-05,2.265135680601416e-05,0.04861942684453039,0.005643614378666423,0.048946037620885535
26090427,1.8378078115000094e-05,2.265135680601138e-05,0.04861942684453039,0.005643614378666438,0.048946037620885535
26090428,1.8378078114996302e-05,2.2651356806018417e-05,0.04861942684453041,0.005643614378666435,0.048946037620885535
26090429,1.8378078115005572e-05,2.2651356806021575e-05,0.04861942684453041,0.005643614378666417,0.04894603762088556
26090430,1.8378078115012237e-05,2.265135680602325e-05,0.04861942684453041,0.005643614378666415,0.04894603762088558
26090431,1.837807811500122e-05,2.2651356806017e-05,0.048619426844530425,0.0056436143786664245,0.04894603762088556
26090432,1.8378078114994995e-05,2.2651356806006806e-05,0.048619426844530404,0.005643614378666414,0.04894603762088557
26090433,1.8378078114990705e-05,2.2651356806009418e-05,0.0486194268445304,0.005643614378666443,0.048946037620885535
26090434,1.837807811500604e-05,2.265135680601788e-05,0.048619426844530404,0.005643614378666419,0.04894603762088556
26090435,1.8378078115003834e-05,2.2651356806012183e-05,0.048619426844530425,0.005643614378666426,0.04894603762088555
26090436,1.8378078114995154e-05,2.265135680601462e-05,0.048619426844530404,0.005643614378666428,0.04894603762088555
26090437,1.837807811500585e-05,2.2651356806013877e-05,0.04861942684453041,0.005643614378666436,0.04894603762088556
26090438,1.8378078114998335e-05,2.2651356806017167e-05,0.04861942684453041,0.005643614378666416,0.048946037620885535
26090439,1.8378078115000155e-05,2.2651356806023516e-05,0.048619426844530425,0.005643614378666433,0.048946037620885556
26090440,1.8378078115005532e-05,2.2651356806018925e-05,0.04861942684453041,0.005643614378666433,0.048946037620885535
26090441,1.8378078115004525e-05,2.2651356806015994e-05,0.048619426844530425,0.005643614378666432,0.04894603762088555
26090442,1.8378078114995127e-05,2.2651356806018248e-05,0.04861942684453039,0.005643614378666418,0.04894603762088553
26090443,1.837807811499818e-05,2.265135680601927e-05,0.04861942684453041,0.005643614378666433,0.048946037620885556
26090444,1.8378078115002083e-05,2.2651356806012572e-05,0.04861942684453039,0.005643614378666431,0.04894603762088555
26090445,1.8378078115006402e-05,2.265135680601872e-05,0.048619426844530425,0.005643614378666413,0.04894603762088555
26090446,1.8378078115002045e-05,2.265135680600893e-05,0.0486194268445304,0.005643614378666444,0.04894603762088553
26090447,1.8378078114980822e-05,2.2651356806002123e-05,0.04861942684453041,0.00564361437866643,0.048946037620885556
