seed,family,direction,kernel_error,f_only_error,maxwell_error,present_match_max_abs
26092429,heldout_two_lobe_mode,plus,0.0,2.1292810681845755e-05,2.1292810681845755e-05,0.0
26092429,heldout_two_lobe_mode,minus,0.0,2.191501334485037e-05,2.191501334485037e-05,0.0
26092429,heldout_diagonal_mode,plus,0.0,2.3266578578226813e-05,2.3266578578226813e-05,0.0
26092429,heldout_diagonal_mode,minus,0.0,2.3283746791930602e-05,2.3283746791930602e-05,0.0
26092430,calibration_mode_a,plus,0.0,2.2156900970690665e-05,2.2156900970690665e-05,0.0
26092430,calibration_mode_a,minus,0.0,2.252917851135378e-05,2.252917851135378e-05,0.0
26092430,calibration_mode_b,plus,0.0,2.8836447716836532e-05,2.8836447716836532e-05,0.0
26092430,calibration_mode_b,minus,0.0,1.5645190468730872e-05,1.5645190468730872e-05,0.0
26092430,heldout_harmonic_mode,plus,0.0,2.815224747754691e-05,2.815224747754691e-05,0.0
26092430,heldout_harmonic_mode,minus,0.0,2.8173571021872378e-05,2.8173571021872378e-05,0.0
26092430,heldout_two_lobe_mode,plus,0.0,2.1292810681856933e-05,2.1292810681856933e-05,0.0
26092430,heldout_two_lobe_mode,minus,0.0,2.1915013344841453e-05,2.1915013344841453e-05,0.0
26092430,heldout_diagonal_mode,plus,0.0,2.326657857823431e-05,2.326657857823431e-05,0.0
26092430,heldout_diagonal_mode,minus,0.0,2.3283746791930535e-05,2.3283746791930535e-05,0.0
26092431,calibration_mode_a,plus,0.0,2.2156900970683235e-05,2.2156900970683235e-05,0.0
26092431,calibration_mode_a,minus,0.0,2.252917851134338e-05,2.252917851134338e-05,0.0
26092431,calibration_mode_b,plus,0.0,2.883644771683491e-05,2.883644771683491e-05,0.0
26092431,calibration_mode_b,minus,0.0,1.564519046870801e-05,1.564519046870801e-05,0.0
26092431,heldout_harmonic_mode,plus,0.0,2.815224747755495e-05,2.815224747755495e-05,0.0
26092431,heldout_harmonic_mode,minus,0.0,2.817357102188373e-05,2.817357102188373e-05,0.0
26092431,heldout_two_lobe_mode,plus,0.0,2.12928106818427e-05,2.12928106818427e-05,0.0
26092431,heldout_two_lobe_mode,minus,0.0,2.1915013344850787e-05,2.1915013344850787e-05,0.0
