model,seed,family,direction,relaxation_rate,equilibrium_gain,normalized_trajectory_l2_error
maxwell,26092401,calibration_mode_a,minus,0.2,0.05,3.393964612017221e-05
maxwell,26092401,calibration_mode_a,minus,0.4,0.0,2.25291785113638e-05
maxwell,26092401,calibration_mode_a,minus,0.4,0.01,2.5645442174463327e-05
maxwell,26092401,calibration_mode_a,minus,0.4,0.05,4.1840832272697556e-05
maxwell,26092401,calibration_mode_b,plus,0.05,0.0,2.88364477168388e-05
maxwell,26092401,calibration_mode_b,plus,0.05,0.01,2.9556647995357025e-05
maxwell,26092401,calibration_mode_b,plus,0.05,0.05,3.259273878626298e-05
maxwell,26092401,calibration_mode_b,plus,0.1,0.0,2.88364477168388e-05
maxwell,26092401,calibration_mode_b,plus,0.1,0.01,3.0195070644547908e-05
maxwell,26092401,calibration_mode_b,plus,0.1,0.05,3.611750908002045e-05
maxwell,26092401,calibration_mode_b,plus,0.2,0.0,2.88364477168388e-05
maxwell,26092401,calibration_mode_b,plus,0.2,0.01,3.1255209049669975e-05
maxwell,26092401,calibration_mode_b,plus,0.2,0.05,4.221238873461154e-05
maxwell,26092401,calibration_mode_b,plus,0.4,0.0,2.88364477168388e-05
maxwell,26092401,calibration_mode_b,plus,0.4,0.01,3.269955721043623e-05
maxwell,26092401,calibration_mode_b,plus,0.4,0.05,5.078001764323285e-05
maxwell,26092401,calibration_mode_b,minus,0.05,0.0,1.5645190468719586e-05
maxwell,26092401,calibration_mode_b,minus,0.05,0.01,1.596765443841991e-05
maxwell,26092401,calibration_mode_b,minus,0.05,0.05,1.7602874979304622e-05
maxwell,26092401,calibration_mode_b,minus,0.1,0.0,1.5645190468719586e-05
maxwell,26092401,calibration_mode_b,minus,0.1,0.01,1.627711614124141e-05
maxwell,26092401,calibration_mode_b,minus,0.1,0.05,1.9901554615842863e-05
maxwell,26092401,calibration_mode_b,minus,0.2,0.0,1.5645190468719586e-05
maxwell,26092401,calibration_mode_b,minus,0.2,0.01,1.683700523132538e-05
maxwell,26092401,calibration_mode_b,minus,0.2,0.05,2.4496908257011403e-05
maxwell,26092401,calibration_mode_b,minus,0.4,0.0,1.5645190468719586e-05
maxwell,26092401,calibration_mode_b,minus,0.4,0.01,1.76930401148788e-05
maxwell,26092401,calibration_mode_b,minus,0.4,0.05,3.1748505116355726e-05
maxwell,26092402,calibration_mode_a,plus,0.05,0.0,2.2156900970706203e-05
maxwell,26092402,calibration_mode_a,plus,0.05,0.01,2.2712853398201006e-05
maxwell,26092402,calibration_mode_a,plus,0.05,0.05,2.5161804399355046e-05
maxwell,26092402,calibration_mode_a,plus,0.1,0.0,2.2156900970706203e-05
maxwell,26092402,calibration_mode_a,plus,0.1,0.01,2.321514131091262e-05
maxwell,26092402,calibration_mode_a,plus,0.1,0.05,2.8155422208489474e-05
maxwell,26092402,calibration_mode_a,plus,0.2,0.0,2.2156900970706203e-05
maxwell,26092402,calibration_mode_a,plus,0.2,0.01,2.4067783113076842e-05
maxwell,26092402,calibration_mode_a,plus,0.2,0.05,3.3561993094710083e-05
maxwell,26092402,calibration_mode_a,plus,0.4,0.0,2.2156900970706203e-05
maxwell,26092402,calibration_mode_a,plus,0.4,0.01,2.5268059657474777e-05
maxwell,26092402,calibration_mode_a,plus,0.4,0.05,4.1470564393189486e-05
maxwell,26092402,calibration_mode_a,minus,0.05,0.0,2.252917851135544e-05
maxwell,26092402,calibration_mode_a,minus,0.05,0.01,2.3086992670941705e-05
maxwell,26092402,calibration_mode_a,minus,0.05,0.05,2.5540527454326217e-05
maxwell,26092402,calibration_mode_a,minus,0.1,0.0,2.252917851135544e-05
maxwell,26092402,calibration_mode_a,minus,0.1,0.01,2.3590584073679842e-05
maxwell,26092402,calibration_mode_a,minus,0.1,0.05,2.8535379575899446e-05
maxwell,26092402,calibration_mode_a,minus,0.2,0.0,2.252917851135544e-05
maxwell,26092402,calibration_mode_a,minus,0.2,0.01,2.4444699412488275e-05
maxwell,26092402,calibration_mode_a,minus,0.2,0.05,3.393964612015178e-05
maxwell,26092402,calibration_mode_a,minus,0.4,0.0,2.252917851135544e-05
maxwell,26092402,calibration_mode_a,minus,0.4,0.01,2.564544217446233e-05
maxwell,26092402,calibration_mode_a,minus,0.4,0.05,4.184083227268292e-05
maxwell,26092402,calibration_mode_b,plus,0.05,0.0,2.883644771683884e-05
maxwell,26092402,calibration_mode_b,plus,0.05,0.01,2.9556647995357936e-05
maxwell,26092402,calibration_mode_b,plus,0.05,0.05,3.259273878624361e-05
maxwell,26092402,calibration_mode_b,plus,0.1,0.0,2.883644771683884e-05
maxwell,26092402,calibration_mode_b,plus,0.1,0.01,3.019507064455646e-05
maxwell,26092402,calibration_mode_b,plus,0.1,0.05,3.611750908000574e-05
maxwell,26092402,calibration_mode_b,plus,0.2,0.0,2.883644771683884e-05
maxwell,26092402,calibration_mode_b,plus,0.2,0.01,3.125520904964713e-05
