seed,condition,angle_deg,initial_global_energy,initial_local_energy,nonlinear_auc,analytic_linear_auc,nonlinear_increment_auc
0,coherent,0.0,1.0,0.7031881563369599,1.4212271866752682,1.302127811233532,0.11909937544173621
0,coherent,90.0,1.0,0.7031881563369599,1.2970265906077343,1.1943164394114711,0.10271015119626314
0,shuffled,0.0,1.0,0.7031881563369599,0.6524942367558553,0.6213519538967389,0.031142282859116355
0,shuffled,90.0,1.0,0.7031881563369599,0.6038552714736823,0.5748256934729877,0.02902957800069461
0,separated,0.0,1.0,0.7028308388024926,1.2523069567390077,1.1944699440234388,0.05783701271556896
0,separated,90.0,1.0,0.7028308388024926,1.2523069566837624,1.19446994397009,0.05783701271367225
1,coherent,0.0,1.0,0.7030218202784625,1.4210486848273303,1.3020396835490142,0.11900900127831604
1,coherent,90.0,1.0,0.7030218202784625,1.2968823044148343,1.194249634759299,0.1026326696555353
1,shuffled,0.0,1.0,0.7030218202784625,0.6229846564839011,0.5940721224847794,0.028912533999121748
1,shuffled,90.0,1.0,0.7030218202784624,0.5933567548673148,0.5648749012901513,0.028481853577163485
1,separated,0.0,1.0,0.7030705718905895,1.2520922355800683,1.194259114100668,0.05783312147940034
1,separated,90.0,1.0,0.7030705718905895,1.2520922355248558,1.194259114047351,0.057833121477504745
2,coherent,0.0,1.0000000000000002,0.7030167211858375,1.4211424999985418,1.3020501647125045,0.11909233528603735
2,coherent,90.0,1.0000000000000002,0.7030167211858376,1.2970697098827648,1.194345651446113,0.10272405843665178
2,shuffled,0.0,1.0000000000000002,0.7030167211858376,0.6247175848295615,0.5949456591706035,0.02977192565895803
2,shuffled,90.0,1.0000000000000002,0.7030167211858375,0.5678265681468104,0.5437596464237301,0.024066921723080337
2,separated,0.0,1.0,0.7032570992328427,1.252112436868458,1.1942552059057734,0.05785723096268458
2,separated,90.0,1.0,0.7032570992328427,1.2521124368132548,1.1942552058524658,0.057857230960788986
3,coherent,0.0,1.0,0.7030743017340509,1.4212235161153968,1.3021662675997485,0.11905724851564825
3,coherent,90.0,1.0,0.7030743017340509,1.297028761053051,1.1943578363432965,0.10267092470975459
3,shuffled,0.0,1.0,0.7030743017340509,0.5696630385081904,0.544994814167488,0.024668224340702483
3,shuffled,90.0,1.0,0.7030743017340509,0.5720891062801773,0.5484334107395363,0.023655695540640953
3,separated,0.0,0.9999999999999999,0.7029535733251167,1.25216971561085,1.19433601448014,0.05783370113070996
3,separated,90.0,0.9999999999999999,0.7029535733251167,1.2521697155556175,1.1943360144268034,0.05783370112881414
