condition,angle_deg,paired_auc,auc_ci_low,auc_ci_high,paired_fraction,fraction_ci_low,fraction_ci_high,paired_dz,dz_ci_low,dz_ci_high,simultaneous_fraction_low,simultaneous_fraction_high
coherent,0.0,0.01638003913088326,0.016372304236083157,0.016387774025683366,0.013714979993677545,0.013708549761259514,0.013721229572466716,1717.8229312191047,,,0.013706783981296483,0.013723176006058607
coherent,90.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
shuffled,0.0,0.0023152295040798077,0.0007216046110098961,0.004531885151923654,0.0019385079136590509,0.000604194236716571,0.0037944480845803234,0.978953453932254,,,-9.427667027534967e-05,0.003971292497593451
shuffled,90.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
separated,0.0,1.89592785915238e-12,1.8955947922449923e-12,1.896427459513461e-12,1.587457299813823e-12,1.5871832963907103e-12,1.5878990744509217e-12,3602.949573501433,,,1.58700499658124e-12,1.587909603046406e-12
separated,90.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
