condition,angle_deg,paired_auc,auc_ci_low,auc_ci_high,paired_fraction,fraction_ci_low,fraction_ci_high,paired_dz,dz_ci_low,dz_ci_high,simultaneous_fraction_low,simultaneous_fraction_high
coherent,0.0,0.01632484601958012,0.016322599926567483,0.016327092112592756,0.013674019966120445,0.013671467651814997,0.013676572280425889,4540.0012951101935,,,0.013671126383421826,0.013676913548819064
coherent,90.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
shuffled,0.0,-0.00043191635132194817,-0.004444582768210081,0.0022474208039430232,-0.00036190615513386165,-0.0037231129700080424,0.0018823845708955031,-0.10344187883250865,,,-0.0037231129700080424,0.0029993006597403187
shuffled,90.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
separated,0.0,1.7968959653558159e-12,1.7965628984484283e-12,1.7972290322632034e-12,1.5051162613761718e-12,1.5048170906417111e-12,1.5054154321106326e-12,4228.004034604106,,,1.5047742580570181e-12,1.5054582646953254e-12
separated,90.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
