seed,condition,angle_deg,initial_global_energy,initial_local_energy,nonlinear_auc,analytic_linear_auc,nonlinear_increment_auc
0,coherent,0.0,1.0,0.7101666598391505,1.4199744300827035,1.3016425256506234,0.11833190443208008
0,coherent,90.0,0.9999999999999998,0.7101666598391506,1.2958123831209587,1.1938085538442733,0.10200382927668539
0,shuffled,0.0,1.0,0.7101666598391506,0.5704029734790046,0.5465383579337024,0.02386461554530217
0,shuffled,90.0,1.0,0.7101666598391506,0.5637442925625379,0.5401705598658243,0.02357373269671359
0,separated,0.0,1.0,0.7101164747084534,1.2514817724133764,1.1939218547497235,0.05755991766365298
0,separated,90.0,1.0,0.7101164747084534,1.2514817723610547,1.1939218546991983,0.05755991766185642
1,coherent,0.0,1.0,0.7100712485202368,1.420087554468362,1.3017627901081832,0.1183247643601788
1,coherent,90.0,1.0,0.7100712485202368,1.29594276481663,1.193940648526491,0.102002116290139
1,shuffled,0.0,1.0,0.710071248520237,0.5784289012723121,0.5537289306585519,0.02469997061376017
1,shuffled,90.0,1.0,0.7100712485202368,0.541374560657364,0.519407593139043,0.021966967518321057
1,separated,0.0,1.0,0.7102322644331605,1.2513513362211286,1.1937962043779267,0.057555131843201934
1,separated,90.0,1.0,0.7102322644331605,1.251351336168822,1.1937962043274166,0.05755513184140537
2,coherent,0.0,1.0000000000000002,0.7101542185069978,1.4200361127649577,1.3017055677456726,0.11833054501928508
2,coherent,90.0,1.0000000000000002,0.7101542185069978,1.2959016793456497,1.1938936861094598,0.10200799323618992
2,shuffled,0.0,1.0000000000000002,0.7101542185069979,0.612012541170792,0.5850491951008744,0.02696334606991757
2,shuffled,90.0,1.0000000000000002,0.7101542185069979,0.5847402580843847,0.559538750526914,0.025201507557470637
2,separated,0.0,1.0000000000000002,0.7100996133239906,1.2514455174796633,1.193898910475939,0.05754660700372427
2,separated,90.0,1.0000000000000002,0.7100996133239906,1.251445517427319,1.1938989104253919,0.05754660700192704
3,coherent,0.0,1.0000000000000002,0.7103031197512337,1.419952069448142,1.3016031902069922,0.11834887924114978
3,coherent,90.0,1.0000000000000002,0.7103031197512337,1.2958142335858347,1.1937914634144757,0.10202277017135897
3,shuffled,0.0,1.0000000000000002,0.7103031197512336,0.5497438476153782,0.5281149924820469,0.02162885513333135
3,shuffled,90.0,1.0000000000000002,0.7103031197512337,0.6302202415401911,0.6020779965450973,0.028142244995093768
3,separated,0.0,1.0,0.7100883530067611,1.2514119508724368,1.1938710264395453,0.057540924432891494
3,separated,90.0,1.0,0.7100883530067611,1.2514119508201094,1.193871026389015,0.057540924431094265
