seed,condition,angle_deg,initial_global_energy,initial_local_energy,nonlinear_auc,analytic_linear_auc,nonlinear_increment_auc
0,coherent,0.0,1.0,0.7031881563369599,1.4204069170152154,1.3011169994492595,0.11928991756595586
0,coherent,5.0,1.0,0.70318815633696,1.4200625045568394,1.3008183010686867,0.11924420348815268
0,coherent,10.0,1.0,0.7031881563369599,1.4190280265155844,1.2999211227589536,0.1191069037566308
0,coherent,15.0,1.0,0.7031881563369599,1.4172997445124846,1.2984222006545894,0.11887754385789528
0,coherent,20.0,1.0,0.7031881563369599,1.4148713728541285,1.2963160466997716,0.11855532615435682
0,coherent,25.0,1.0,0.70318815633696,1.4117339943080143,1.2935948747778396,0.11813911953017464
0,coherent,30.0,1.0,0.7031881563369599,1.4078759388415567,1.290248494317073,0.11762744452448382
0,coherent,35.0,1.0,0.7031881563369599,1.4032826217791243,1.2862641682171185,0.1170184535620058
0,coherent,40.0,1.0,0.7031881563369599,1.3979363365169433,1.281626430765856,0.11630990575108724
0,coherent,45.0,1.0,0.7031881563369599,1.3918159953630587,1.2763168598077586,0.11549913555530011
0,coherent,50.0,1.0,0.7031881563369599,1.3848968101418102,1.2703137956931645,0.11458301444864571
0,coherent,55.0,1.0,0.7031881563369599,1.3771499017913864,1.2635919973659924,0.11355790442539404
0,coherent,60.0,1.0,0.7031881563369601,1.3685418251173196,1.2561222231771405,0.11241960194017908
0,coherent,65.0,1.0,0.7031881563369597,1.3590339909092204,1.2478707204249337,0.11116327048428665
0,coherent,70.0,1.0,0.7031881563369599,1.3485819624566995,1.23879860292017,0.1097833595365294
0,coherent,75.0,0.9999999999999999,0.7031881563369599,1.3371345966547366,1.2288610896241132,0.10827350703062333
0,coherent,80.0,1.0,0.70318815633696,1.3246329907142234,1.218006569000777,0.10662642171344627
0,coherent,85.0,1.0,0.7031881563369597,1.311009183043469,1.2061754422695934,0.10483374077387553
0,coherent,90.0,1.0,0.7031881563369599,1.296184539750523,1.193298682926597,0.10288585682392593
0,shuffled,0.0,1.0,0.7031881563369599,0.6517147022736983,0.6204882924897515,0.031226409783946862
0,shuffled,5.0,1.0,0.7031881563369597,0.6514503027088056,0.6201621939649758,0.0312881087438297
0,shuffled,10.0,1.0,0.70318815633696,0.6533048660208071,0.6217254494122045,0.03157941660860253
0,shuffled,15.0,1.0,0.7031881563369599,0.6533117171477066,0.6214357481982,0.03187596894950662
0,shuffled,20.0,1.0,0.7031881563369599,0.6573620399634573,0.6249424950863436,0.03241954487711374
0,shuffled,25.0,1.0,0.70318815633696,0.6599994913192093,0.6271670226687552,0.03283246865045408
0,shuffled,30.0,1.0,0.7031881563369597,0.6612378581111682,0.6281253536172781,0.03311250449389014
0,shuffled,35.0,1.0,0.70318815633696,0.6599074056063613,0.6267692623263598,0.03313814328000153
0,shuffled,40.0,1.0,0.7031881563369599,0.6555241205118889,0.6226567993155646,0.032867321196324295
0,shuffled,45.0,1.0,0.7031881563369599,0.6494240198765183,0.6169753851250986,0.03244863475141968
0,shuffled,50.0,1.0,0.7031881563369599,0.6430372916872211,0.6110293413601231,0.03200795032709802
0,shuffled,55.0,1.0,0.7031881563369597,0.6374051038055244,0.6057785599590152,0.0316265438465092
0,shuffled,60.0,1.0,0.70318815633696,0.6335031337785134,0.6020805723291422,0.03142256144937117
0,shuffled,65.0,1.0,0.7031881563369599,0.6316492344347417,0.6002045538650321,0.031444680569709615
0,shuffled,70.0,1.0,0.70318815633696,0.6283352982494397,0.5970841535031813,0.03125114474625834
0,shuffled,75.0,1.0,0.7031881563369597,0.6204788586330459,0.5899720271818714,0.0305068314511745
0,shuffled,80.0,1.0,0.7031881563369599,0.6137104598594914,0.5837846276299608,0.029925832229530602
