condition,angle_deg,paired_auc,auc_ci_low,auc_ci_high,paired_fraction,fraction_ci_low,fraction_ci_high,paired_dz,dz_ci_low,dz_ci_high,simultaneous_fraction_low,simultaneous_fraction_high
coherent,0.0,0.016392713772658468,0.016390645275259918,0.016394855325003704,0.013737878425106412,0.01373604134103071,0.01373972831431082,2899.4302681619215,2441.6151774185237,3836.2512951531835,0.01373515426020161,0.013740602590011222
coherent,5.0,0.01634702973948529,0.01634496834294791,0.016349165353612582,0.013699593019535638,0.013697760087415186,0.013701438364633098,2898.770256971704,2441.1757643165624,3835.2334023564845,0.013696875827942288,0.013702310211128992
coherent,10.0,0.01620982034086978,0.016207780740952325,0.01621193815234248,0.013584604978657705,0.013582784812463368,0.01358643613868266,2896.7851775626996,2440.611747207101,3832.139663080037,0.01358190874753202,0.01358730120978339
coherent,15.0,0.015980611660166243,0.015978606160426838,0.015982698123100537,0.013392517137657484,0.013390721695859175,0.013394324325122747,2893.459766214696,2438.092643921697,3826.5658675371687,0.0133898559766201,0.013395178298694861
coherent,20.0,0.015658607053716106,0.01565663622981632,0.01566065471448897,0.013122661871048075,0.013120896153813068,0.013124437012265216,2888.7681596851576,2435.455321745205,3819.685909401752,0.013120050096752961,0.013125273645343202
coherent,25.0,0.015242676794926802,0.015240758790680755,0.015244672012181626,0.012774092413913843,0.012772373125132018,0.012775826631484988,2882.6732523928495,2432.434734757416,3806.150053058799,0.012771544639167248,0.012776640188660445
coherent,30.0,0.014731343203907926,0.014729482934396949,0.01473328105503732,0.012345570399834574,0.01234390924598232,0.012347250954984427,2875.125780774694,2427.3964850463954,3790.0069502949327,0.012343101629417241,0.012348039170251906
coherent,35.0,0.014122760871443771,0.014120972267556145,0.0141246231103409,0.011835549287628968,0.011833951516796287,0.011837168132275167,2866.0631213306174,2422.421124210881,3776.604965369493,0.011833175023338444,0.011837923551919486
coherent,40.0,0.013414691445595225,0.013412986384437933,0.013416470762861414,0.011242153231321605,0.011240633885959852,0.011243697962110314,2855.4077909366833,2416.4012832716817,3756.2750893811026,0.011239889589268038,0.011244416873375176
coherent,45.0,0.01260447228470335,0.012602863752488508,0.012606151120262352,0.010563150809861213,0.010561719898124062,0.010564608965862352,2843.0656382385055,2409.071035765045,3734.615150959622,0.01056101465375414,0.01056528696596829
coherent,50.0,0.011688978083582177,0.011687477063574325,0.01169055049011063,0.009795922868035488,0.009794590366159307,0.009797280222747057,2828.923729656505,2401.0952684547196,3710.723863787131,0.009793931963153658,0.00979791377291732
coherent,55.0,0.01066457433963732,0.010663198571848597,0.0106660313598557,0.008937423518853583,0.008936204003928446,0.008938674282779724,2812.8479491094845,2389.843621601656,3683.4851661557846,0.008935596712661413,0.008939250325045753
coherent,60.0,0.009527061228772948,0.009525820386937365,0.009528375214017113,0.007984133108872577,0.007983039961143813,0.00798525839937134,2794.680371609201,2381.153986914367,3655.371561877859,0.00798249054594227,0.007985775671802883
coherent,65.0,0.008271606089316838,0.00827051563048029,0.00827276014111695,0.006932001636498277,0.0069310423007178795,0.0069329852488157605,2774.236520926058,2371.1251314970627,3618.54895607236,0.0069305650176328115,0.006933438255363744
coherent,70.0,0.006892662242135972,0.006891743560579285,0.00689363349108177,0.005776380719360171,0.005775573850782168,0.005777202125912672,2751.3027128623257,2357.3223670234875,3583.249735770297,0.005775173617757328,0.005777587820963012
coherent,75.0,0.005383871275058599,0.005383142935763956,0.00538463647469359,0.004511941703984189,0.0045113069658998745,0.004512588620572293,2725.633809839383,2340.66266286478,3542.893828110266,0.0045109899551242,0.004512893452844176
coherent,80.0,0.0037379451474068848,0.0037374341397147983,0.0037384844139860714,0.0031325768637527614,0.003132129436656656,0.0031330326784933383,2696.951885845274,2318.6734894568353,3497.043528811339,0.0031319090506578984,0.0031332446768476225
